timeslot,Seattle (OR),Cheyenne (WY),Chicago (PJM),New York (NY),Kansas City (KS),Berkeley County (SC)
120,157.09,674.19,452.28,265.52,600.34,441.57
121,175.57,706.43,455.94,256.34,574.2,437.08
122,161.31,715.72,459.5,250.05,574.47,444.6
123,167.36,711.7,459.31,241.78,549.43,453.21
124,185.59,696.21,446.93,224.02,519.59,458.7
125,188.1,703.61,438.22,216.89,510.2,457.45
126,172.72,711.28,433.61,212.89,505.42,460.11
127,191.53,701.74,427.68,212.03,509.21,460.73
128,213.9,697.16,429.2,210.16,550.32,460.84
129,218.79,689.7,433.34,211.8,556.05,463.63
130,216.37,667.9,438.72,218.4,584.39,454.78
131,205.26,632.98,440.72,227.63,611.84,438.15
132,182.86,633.05,450.42,244.48,634.5,446.8
133,165.23,662.53,456.95,253.22,693.2,439.09
134,173.32,663.52,460.47,254.76,696.19,424.37
135,161.89,631.08,459.58,253.72,691.64,427.76
136,175.03,561.05,464.76,253.03,707.69,426.82
137,165.98,554.2,461.91,252.06,716.19,426.25
138,185.21,562.61,460.09,251.99,703.65,425.49
139,178.9,546.9,458.66,249.87,696.16,427.38
140,178.48,554.98,457.04,251.45,720.89,432.78
141,177.01,557.82,459.75,257.43,709.12,441.02
142,182.65,580.17,462.88,264.97,700.02,451.72
143,170.94,611.36,459.42,263.93,701.22,449.98
144,152.93,680.85,456.61,261.04,714.78,441.99
145,53.53,700.16,452.36,254.51,731.68,441.7
146,50.48,695.64,453.21,249.92,736.28,446.82
147,50.52,710.91,444.37,236.06,728.76,461.26
148,50.74,726.95,438.34,226.73,719.53,460.37
149,55.56,743.86,434.15,217.33,681.15,461.93
150,58.23,770.54,434.32,208.71,661.05,465.56
151,56.94,751.73,432.76,208.75,651.96,466.59
152,58.66,731.56,433.82,209.46,645.86,467.3
153,57.22,696.59,439.68,208.63,659.56,467.26
154,56.33,699.87,444.99,217.98,701.5,456.57
155,54.06,720.15,448.06,228.39,712.6,444.29
156,51.66,756.29,451.73,236.58,707.63,443.31
157,47.21,787.53,455.99,245.78,700.73,444.64
158,48.0,762.57,456.62,244.75,733.95,450.39
159,47.4,726.43,457.23,242.14,740.16,444.14
160,47.2,676.03,459.59,242.68,745.74,450.75
161,47.92,668.53,456.83,238.15,747.54,459.34
162,48.67,650.0,451.27,237.92,759.49,461.12
163,50.94,635.15,448.06,239.12,765.42,465.19
164,51.58,599.61,451.07,241.93,763.16,466.77
165,53.14,578.23,452.09,248.2,761.67,469.52
166,50.39,558.05,452.66,263.79,747.95,469.51
167,44.61,638.5,456.65,262.02,732.62,459.0
168,39.99,666.03,457.06,261.23,788.15,457.52
169,39.85,697.69,457.37,257.82,802.94,454.47
170,40.77,718.71,461.45,250.04,823.19,457.78
