timeslot,Seattle (OR),Cheyenne (WY),Chicago (PJM),New York (NY),Kansas City (KS),Berkeley County (SC)
120,80.93,570.16,481.53,356.8,612.9,521.64
121,64.76,624.05,483.48,357.91,609.86,517.3
122,60.57,740.46,484.97,353.83,613.34,513.13
123,45.04,762.33,473.5,338.86,635.33,509.83
124,65.01,726.52,461.59,326.59,627.4,499.3
125,120.44,668.14,450.64,310.34,591.69,490.27
126,122.93,698.58,441.98,297.34,571.63,475.91
127,148.63,791.74,431.42,290.28,555.61,467.7
128,173.02,792.4,422.76,293.32,548.89,464.14
129,176.38,837.51,418.56,294.13,532.61,464.61
130,177.87,854.49,418.8,303.35,539.09,461.93
131,176.62,876.22,412.98,312.04,542.21,450.6
132,173.24,877.08,406.5,318.12,574.37,431.33
133,154.65,753.14,412.62,336.43,620.76,432.74
134,135.45,578.39,419.09,340.9,625.67,458.08
135,124.84,486.97,426.07,350.15,638.59,476.59
136,128.27,504.65,444.12,357.62,645.92,481.11
137,128.03,524.6,452.89,362.9,665.7,493.3
138,126.82,547.42,461.13,370.15,666.91,495.46
139,124.08,571.58,464.36,366.92,653.61,502.25
140,124.29,576.74,462.79,359.63,659.69,509.04
141,121.63,581.03,467.66,345.46,649.84,514.42
142,121.73,581.71,473.88,353.26,646.68,518.23
143,83.37,584.29,484.7,353.53,661.77,530.46
144,74.7,611.75,497.12,357.77,698.54,534.66
145,40.99,665.29,501.84,368.98,707.37,539.36
146,45.93,706.98,497.69,372.04,713.78,542.15
147,73.15,739.79,499.79,365.71,708.16,536.56
148,81.85,724.57,492.78,361.84,674.13,521.37
149,156.31,752.28,487.87,350.86,667.17,506.31
150,185.81,803.98,480.25,341.56,644.01,497.1
151,173.38,850.59,470.84,340.31,639.37,483.73
152,192.54,860.8,467.04,341.48,652.28,482.36
153,198.17,865.0,468.84,346.98,662.78,489.4
154,202.64,875.42,475.41,347.47,695.96,493.62
155,202.7,867.38,479.97,357.14,700.75,490.95
156,188.42,866.59,476.57,369.31,713.02,486.11
157,166.29,769.38,475.78,381.11,714.89,497.76
158,160.03,645.29,477.01,383.04,700.9,507.74
159,177.83,624.34,479.32,384.23,687.14,512.56
160,166.97,620.8,478.57,384.36,678.15,517.91
161,127.11,595.76,477.49,379.6,658.53,521.61
162,136.71,573.61,476.25,371.44,632.08,517.84
163,127.11,578.94,474.44,358.43,607.97,516.09
164,121.52,593.49,476.38,360.8,604.48,511.86
165,116.2,586.3,480.42,361.12,582.94,512.17
166,82.6,596.28,481.23,359.96,586.96,513.25
167,64.15,627.59,487.99,355.56,589.87,522.73
168,57.45,669.74,499.76,369.47,597.56,530.33
169,58.47,710.36,508.61,378.75,622.93,539.18
170,57.46,738.5,511.89,383.18,642.71,542.43
171,67.11,717.37,510.52,391.91,643.07,541.58
172,97.04,676.37,500.74,385.98,639.45,524.72
173,116.68,732.33,491.12,378.29,582.3,507.15
174,127.71,782.6,480.73,367.62,541.6,505.63
175,120.81,833.46,472.45,361.58,541.13,490.37
176,153.56,849.82,467.93,362.41,599.26,479.35
177,162.84,868.51,470.39,372.47,636.01,481.81
178,158.0,886.62,474.3,373.05,608.94,491.13
179,158.6,910.78,474.26,374.48,600.75,495.38
180,160.22,904.64,467.04,378.49,600.94,483.07
181,152.51,784.63,461.55,382.01,616.64,487.26
182,147.68,667.71,463.03,388.66,598.26,499.92
183,148.38,612.2,468.08,393.05,573.74,516.96
184,145.99,600.85,468.67,386.41,573.26,513.21
185,140.33,572.24,470.38,374.43,579.94,515.19
186,140.18,544.23,471.74,371.57,569.46,520.68
187,138.01,546.08,474.02,375.53,567.39,519.82
188,133.94,540.14,478.49,378.58,565.2,510.27
189,127.73,542.57,481.84,376.33,570.86,507.84
190,120.93,594.29,483.71,376.55,568.15,522.31
191,66.52,603.5,493.27,374.44,561.4,526.29
192,66.6,622.97,506.79,379.01,567.53,534.95
193,60.46,708.01,513.06,389.46,578.76,545.25
194,53.54,811.03,519.07,395.25,584.94,552.38
195,56.4,825.61,518.58,394.35,589.98,542.92
196,66.78,819.15,505.57,380.86,610.63,524.59
197,86.69,829.18,493.36,370.62,623.05,505.47
198,87.38,853.34,479.85,358.14,630.96,505.2
199,111.07,853.02,475.44,358.39,630.83,503.04
200,111.21,836.3,473.93,354.64,633.0,494.54
201,110.7,829.36,476.5,361.33,633.96,495.07
202,117.94,802.22,482.67,380.16,630.97,498.8
203,111.48,780.7,484.96,376.4,639.36,500.19
204,107.57,790.21,483.51,375.34,635.21,492.45
205,114.14,717.3,476.98,377.11,639.8,495.18
206,107.19,626.39,479.07,384.71,622.85,509.33
207,104.28,631.88,482.07,392.15,607.23,517.83
208,100.15,612.52,480.61,405.2,604.25,521.16
209,108.61,561.89,472.73,406.68,600.14,527.65
210,104.47,532.71,467.78,406.57,599.18,530.55
211,99.78,536.31,470.84,406.28,586.83,529.16
212,104.34,532.69,472.75,403.16,576.37,529.87
213,99.5,545.2,483.19,389.83,565.35,524.56
214,95.31,583.56,494.68,388.98,565.7,520.88
215,61.56,574.79,499.74,393.53,563.56,518.32
216,64.07,625.51,505.54,401.34,574.94,531.42
217,66.73,679.02,511.76,406.78,578.4,538.28
218,63.18,747.35,515.69,410.12,574.79,538.43
219,74.34,693.46,508.93,406.1,543.89,532.91
220,73.64,653.21,492.66,392.66,536.67,517.16
221,96.71,738.32,477.24,377.42,536.2,503.2
222,95.92,759.7,460.34,365.23,543.89,501.83
223,140.86,751.26,451.71,356.76,528.6,492.1
224,145.96,682.34,446.27,355.57,507.18,480.61
225,148.96,696.95,447.06,358.84,555.22,479.54
226,149.04,677.79,453.68,363.91,664.34,486.55
227,151.25,732.24,461.37,367.32,705.72,486.08
228,139.6,765.81,460.91,377.6,701.75,474.52
229,134.83,637.16,456.91,384.53,677.32,471.27
230,126.54,491.08,459.29,387.72,642.76,476.36
231,134.3,415.26,466.96,390.16,632.3,482.6
232,123.85,450.48,468.42,393.02,611.83,505.47
233,109.21,506.84,466.69,386.29,597.06,514.18
234,99.14,520.78,456.79,386.97,591.85,516.9
235,96.08,519.37,457.66,384.81,595.0,515.15
236,102.15,520.85,460.94,370.31,599.62,518.11
237,94.38,503.92,464.33,369.94,603.32,511.51
238,90.5,513.1,466.27,371.71,609.91,513.69
239,43.86,503.89,477.24,373.0,613.34,518.46
240,40.69,483.58,490.96,379.33,604.91,533.44
241,39.72,542.12,496.96,381.38,583.41,530.76
242,47.8,706.45,503.69,390.74,590.79,534.45
243,62.42,750.25,501.59,393.8,590.96,515.61
244,77.6,736.18,492.44,384.79,605.32,498.18
245,114.22,741.83,477.77,377.35,576.04,495.63
246,113.07,759.33,462.85,365.22,535.53,496.74
247,179.23,783.44,450.42,352.33,564.26,490.77
248,191.39,756.56,442.51,360.6,589.29,477.81
249,212.04,726.88,446.32,364.33,597.02,492.53
250,214.08,700.12,452.69,371.96,533.56,499.36
251,220.71,687.12,452.48,379.73,577.63,494.27
252,214.43,708.08,452.46,388.82,609.32,482.39
253,184.4,597.34,452.55,391.13,593.64,482.69
254,155.91,508.39,461.0,386.72,571.16,486.39
255,156.91,522.55,466.99,390.79,558.24,500.94
256,156.45,552.6,471.67,392.94,563.87,523.96
257,150.87,559.99,471.87,392.32,551.76,530.74
258,150.98,545.28,466.47,387.63,553.23,532.74
259,149.74,527.41,462.82,377.3,535.44,535.75
260,147.36,512.22,460.97,372.63,527.87,533.41
261,144.76,499.19,459.28,366.85,517.16,529.55
262,132.01,486.71,468.5,367.76,516.08,520.08
263,68.92,515.76,481.82,375.75,533.04,512.93
264,65.15,571.31,494.4,380.78,545.41,532.66
265,68.96,655.5,502.58,386.93,571.02,539.35
266,63.84,757.73,501.62,393.02,580.21,538.9
267,71.1,786.88,492.07,399.08,581.81,521.75
268,89.85,775.76,479.03,385.31,578.83,516.15
269,121.09,752.78,476.97,375.5,613.21,507.47
270,106.55,775.19,470.22,368.68,621.38,500.43
271,131.27,806.01,459.18,358.16,633.49,494.72
272,153.25,817.53,448.81,349.86,622.99,489.11
273,159.37,837.1,444.32,348.3,593.42,485.86
274,162.49,810.34,443.52,345.97,568.17,484.88
275,155.01,782.33,440.77,350.98,568.18,480.09
276,153.28,780.28,433.16,363.16,606.49,464.18
277,134.37,641.49,430.78,371.67,633.31,459.29
278,127.7,507.75,440.64,382.68,628.24,468.75
279,131.26,475.09,453.96,384.69,611.0,491.66
280,121.64,495.78,460.5,391.11,607.72,511.48
281,119.92,506.58,464.21,392.25,600.58,517.5
282,117.64,473.63,464.56,390.14,589.8,529.28
283,107.43,458.16,466.67,382.82,592.4,526.48
284,105.23,478.5,469.84,378.99,598.5,528.71
285,107.54,508.35,470.71,364.58,595.19,531.8
286,89.31,515.25,473.43,367.97,590.04,537.8
287,62.21,520.44,478.71,374.42,604.28,547.9
288,76.52,565.86,485.45,379.74,607.39,557.88
289,63.49,662.8,488.27,377.1,611.76,553.94
290,45.05,750.31,487.93,378.87,604.56,555.66
291,52.51,766.28,486.82,374.25,608.77,538.83
292,81.44,802.18,476.83,359.33,622.51,514.01
293,93.35,840.45,468.83,344.65,608.22,510.67
